Name,Party,Position,Jurisdiction,OpenFEC ID,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Ron DeSantis,Republican,Governor,Florida,,false,Won General,false,2018,2019,2023
Steve Marshall,Republican,Attorney General,Alabama,,false,Won General,false,2018,2019,2023
Kay Ivey,Republican,Governor,Alabama,,false,Won General,false,2018,2019,2023
Mike Dunleavy,Republican,Governor,Alaska,,false,Won General,false,2018,2019,2023
Ashley Moody,Republican,Attorney General,Florida,,false,Won General,false,2018,2019,2023
Kim Reynolds,Republican,Governor,Iowa,,false,Won General,false,2018,2019,2023
Alan Wilson,Republican,Attorney General,South Carolina,,false,Won General,false,2018,2019,2023
Bill Lee,Republican,Governor,Tennessee,,false,Won General,false,2018,2019,2023
Greg Abbott ,Republican,Governor,Texas,,false,Won General,false,2018,2019,2023
Ken Paxton,Republican,Attorney General,Texas,,false,Won General,false,2018,2019,2023
Lynn Fitch,Republican,Attorney General,Mississippi,,false,Won General,false,2019,2020,2024
Jeff Landry,Republican,Attorney General,Louisiana,,true,Won General,false,2019,2020,2024
Todd Rokita,Republican,Attorney General,Indiana,,false,Won General,false,2020,2021,2025
Sean Reyes,Republican,Attorney General,Utah,,true,Won General,false,2020,2021,2025
Greg Gianforte,Republican,Governor,Montana,,false,Won General,false,2020,2021,2025
Patrick Morrisey,Republican,Attorney General,West Virginia,,true,Won General,false,2020,2021,2025
Jay Ashcroft,Republican,Secretary of State,Missouri,,true,Won General,false,2020,2021,2025
Mac Warner,Republican,Secretary of State,West Virginia,,true,Won General,false,2020,2021,2025
Kahiolani Papalimu,Republican,State Elections Board,Hawaiʻi,,false,Won General,false,2020,2020,2024
Andrew Bailey,Republican,Attorney General,Missouri,,false,Won General,false,2020,2021,2025
Larry Elder,Republican,Governor,California,,false,Lost General,false,2021,2022,2026
"Robert F. Spindell, Jr.",Republican,State Elections Board,Wisconsin,,false,Appointed,false,2021,2021,2026
Ron DeSantis,Republican,Governor,Florida,,true,Won General,false,2022,2023,2027
Keith Blandford,Republican,Secretary of State,South Carolina,,false,Lost Primary,false,2022,2023,2027
John Gordon,Republican,Attorney General,Georgia,,false,Lost Primary,false,2022,2023,2027
Eric Early,Republican,Attorney General,California,,false,Lost Primary,false,2022,2023,2027
Wiliam J. Kelly,Republican,Secretary of State,Illinois,,false,Dropped Out,false,2022,2023,2027
Raul Labrador,Republican,Attorney General,Idaho,,false,Won General,false,2022,2023,2027
Charles Herbster,Republican,Governor,Nebraska,,false,Lost Primary,false,2022,2023,2027
Mike Dunleavy,Republican,Governor,Alaska,,true,Won General,false,2022,2023,2027
Kari Lake,Republican,Governor,Arizona,,false,Lost General,false,2022,2023,2027
Charlie Gerow,Republican,Governor,Pennsylvania,,false,Lost Primary,false,2022,2023,2027
Karen Mueller,Republican,Attorney General,Wisconsin,,false,Lost Primary,false,2022,2023,2027
Anne Armstrong,Other,Secretary of State,Rhode Island,,false,Did Not Make Ballot,false,2022,2023,2027
Rachel Hamm,Republican,Secretary of State,California,,false,Lost Primary,false,2022,2023,2027
Kandiss Taylor,Republican,Governor,Georgia,,false,Lost Primary,false,2022,2023,2027
Bryan Masche,Republican,Governor,Arizona,,false,Dropped Out,false,2022,2023,2027
